Results from heasarc_hipparcos: Hipparcos Main Catalog
Coordinate system:  Equatorial
|name      |parallax|spect_type |vmag |bv_color|ccdm_id   |survey_star|id_chart|hd_id |spect_type_source|class          |
|HIP 83541 |   55.31|K1V        | 6.59|   0.814|          |S          |        |154088|3                |       STAR K1V|
|HIP 22907 |   55.67|K3/K4V     | 8.13|   1.072|          |           |        | 31560|3                |       STAR K3V|
|HIP 65520 |   61.50|M          |11.04|   1.522|          |           |G       |      |S                |        STAR M0|
|HIP 14559 |  114.73|           |11.72|        |03079-2813|           |        |      |                 |   UNIDENTIFIED|
|HIP 14555 |   52.38|Se         |10.21|        |03079-2813|           |        |      |S                |   UNIDENTIFIED|
|HIP 4569  |   76.32|           |11.77|   1.558|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 55119 |   56.96|M0V        | 9.78|   1.383|          |           |        |      |X                |       STAR M0V|
|HIP 100923|   64.93|M3         |11.41|   1.504|          |           |G       |      |S                |        STAR M3|
|HIP 58345 |   98.16|K4V        | 6.99|   1.128|          |S          |        |103932|3                |       STAR K4V|
|HIP 48659 |   87.26|           |12.04|   1.635|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 117081|   58.45|G:+...     | 9.01|   0.535|23441-2712|S          |        |222834|3                |        STAR G0|
|HIP 99825 |  113.33|K3V        | 5.73|   0.878|          |S          |        |192310|3                |       STAR K3V|
|HIP 1936  |   55.53|K2V        | 7.92|   0.940|          |S          |        |  2025|3                |       STAR K2V|
|HIP 92444 |   57.87|Kp         | 9.65|   1.459|          |           |G       |      |S                |        STAR K0|
|HIP 28035 |   68.58|           |10.70|   1.054|          |           |G       |      |                 |   UNIDENTIFIED|
|HIP 63618 |   56.87|K4V        | 8.35|   1.216|          |           |        |113194|3                |       STAR K4V|
|HIP 84405 |  167.08|K2:III:    | 4.33|   0.855|17155-2635|S          |        |155885|3                |     STAR K2III|
|HIP 84478 |  167.56|K5V        | 6.33|   1.144|17155-2635|S          |        |156026|3                |       STAR K5V|
|HIP 15095 |   54.48|K5V        | 9.17|   1.235|          |           |        | 20280|3                |       STAR K5V|
